A	archive file	ar (Unix)
QIF[52]	Quicken Interchange Format	Intuit Quicken
QLC[43]	ATM Type 1 fonts script	Adobe Type Manager
QT	QuickTime movie (animation)	
QTVR	QuickTime VR Movie

R	Ratfor file	Ratfor
R	Script file	R
R00, R01, ...	Part of a multi-file RAR archive	RAR
R2D	Reflex 2 datafile	Reflex 2
R3D	Red Raw Video (raw video data created with a Red camera)	Red Camera
R8P	PCL 4 bitmap font file	Intellifont
RAD	2-op FM music	Reality AdLib Tracker
RAD	Radiance	Radiance
RAL	Remote Access Language file	Remote Access
RAM	Ramfile	RealAudio
RAP	Flowchart	RAPTOR
RAR	Archive	RAR
RAS	Graphics format	SUN Raster
RB	Ruby (programming language) Script file	
RBXM	Roblox "model"	Roblox
RBXL	Roblox "level"	Roblox
RC	Configuration file	emacs, Vim (text editor), Bash (Unix shell)
RC[53]	Resource Compiler script file	Microsoft C/C++, Borland C++
RDP[54]	RDP connection	Remote Desktop connection
RDS[55]	Data file	R
RES[56]	Compiled resource	Microsoft C/C++, Borland C++
RM[57]	RealMedia	RealPlayer
RMVB[58]	RealMedia Variable Bitrate	RealPlayer
RPM	Red Hat Package Manager	Red Hat Linux
RS	Rust language source	
RST	reStructuredText	Docutils
RTF[59][60][61]	Rich Text Format text file (help file script)	many - Microsoft Word
RUN	AMPL script file	AMPL
RUN	Makeself shell self-extracting archive	shell

S	assembler source code file	Unix
S7I	Seed7 library / include file	Seed7 interpreter and compiler
SAIF[1]	Spatial Archive and Interchange Format	
SASS[2]	Sass stylesheet language, indented-format	
SAT	ACIS ACIS .sat	
SAV	SPSS "System File"	PSPP
SB	Scratch project	Scratch
SB2	Scratch 2.0 project	Scratch
SB3	Scratch 3.0 project	Scratch
SBH	Header	ScriptBasic
SBX	For experimental extensions to Scratch	Used by scratchX (scratchx.org)
SBX	Sequenced Box container	Used by SeqBox
SCALA	Scala source code file	Scala (programming language)
SCM	Scheme source code file	
SCSS[2]	Saas stylesheet language, block-formatted with braces and semicolons to denote end-of-line	
SD7	Seed7 source file	Seed7 interpreter and compiler
SDS	Self Defining Structure provides for N-dimensional very large datasets using HHCode	geographic information systems and relational database management systems
SDTS	Spatial Data Transfer Standard	
SEC	Secret key ring file	Pretty Good Privacy RSA System
SED	Self extraction directive file	IExpress
SEQ	Video	Tiertex video sequence
SF	JAR Digital Signature	
SFB	Configuration file	emacs
SFX	SFX (self-extracting archives) script	RAR
SH	Unix shell script	Unix shell interpreter
SHAR	Shell self-extracting archive	UNSHAR (Unix)
SHTM	SSI-enabled HTM file	Server Side Includes
SHTML	SSI-enabled HTML file	Server Side Includes
SHX	Shape entities
ESRI shapefile

AutoCAD
ArcGIS

SIG	Signature file	gpg, PopMail, ThunderByte AntiVirus
SL	S-Lang source code file	
SM	SMALLTALK source code file	
SMCLVL	Secret Maryo Chronicles Level	Secret Maryo Chronicles
SMK	Smacker video Format (RAD Video)	
SNO	SNOBOL4 source code file	
SO	shared object, dynamically linked library	Unix, Linux
SPF	data	SQR Portable Format
SPIFF[3]	Still Picture Interchange File Format	
SPIN	Spin source file	Parallax Propeller Microcontrollers
SPT	SPITBOL source code file	
SPX[4][5]	Ogg Speex bitstream	Xiph.Org Foundation
SPZ	Crestron SIMPL Windows compiled program (ZIP format)	Crestron SIMPL Windows
SQL	Structured Query Language	Any SQL database
SSC	Celestia Solar System Catalog file	Celestia
SSC	Stellarium Script	Stellarium
ST	SMALLTALK source code file	Little Smalltalk
STC	Celestia Star Catalog file	Celestia
STC	OpenOffice.org XML spreadsheet template	OpenOffice.org Calc
STD	OpenOffice.org XML drawing template	OpenOffice.org Draw
STI	OpenOffice.org XML presentation template	OpenOffice.org Impress
STK[6]	Stockholm multiple sequence alignment	Bioinformatics tools eg HMMER, Xrate, Jalview
STM	SSI-enabled HTML file	Server Side Includes
STO[6]	Stockholm multiple sequence alignment	Bioinformatics tools eg HMMER, Xrate, Jalview
STP	Standard for the Exchange of Product Data	universal format for CAD exchange per ISO 10303
STS	Music format (Scream Tracker Song)	ST 2.0-2.3
STW	OpenOffice.org XML text document template	OpenOffice.org Writer
SUR	Surface topography (in native "SURF" format)	MountainsMap
SVC	Represents the ServiceHost instance hosted by Internet Information Services	Windows Communication Foundation
SVG	Scalable Vector Graphics	many
SWF[7]	Shockwave Flash	Macromedia
SWG	SWIG source code	SWIG
SWIFT	Swift source code	Swift (programming language)
SWM	split Windows Imaging Format	ImageX, DISM, 7-Zip, wimlib
SXC	OpenOffice.org XML spreadsheet	OpenOffice.org Calc
SXD	OpenOffice.org XML drawing	OpenOffice.org Draw
SXG	OpenOffice.org XML master document	
SXI	OpenOffice.org XML presentation	OpenOffice.org Impress
SXM	OpenOffice.org XML formula	OpenOffice.org Calc
SXP	3DS Process file	3D Studio
SXW	OpenOffice.org XML text document	OpenOffice.org Writer

TAK	Audio codec, Lossless audio file format	Winamp (+Plugin), foobar2000 (+Plugin), Media Player Classic - BE
TAR	tar archive	tar, many file archivers with TAR support
TAZ	compressed tar archive	tar, many file archivers with TAR and COMPRESS support
TLB[8]	Type library	A binary file with information about a COM or DCOM object so other applications can use it at runtime. Created by Visual C++ or Visual Studio. Used by many Windows applications.
TORRENT[9]	Torrent file	BitTorrent clients (various)
TSV[10]	Tab-separated values	
TTF	TrueType Font file

UI	Espire source code file	Geoworks UI Compiler Geos
UI	Qt Designer's UI File	Trolltech Qt Designer
UMP	Umple UML Programming Language Format	Umple
UNV	Text file containing finite elements nodal coordinates and more See notes	Originally used by SDRC for its I-deas software; a lot of simulation software use it today
UOS	Uniform Office Format spreadsheet	
UOT	Uniform Office Format text	
USDZ	Augmented Reality (AR) File	Apple, Pixar
UT!	datafile	uTorrent

V	Coq source file	
V	Verilog source file	
V4P	vvvv patch	vvvv
V64	Nintendo 64 ROM	Nintendo 64 emulators
VB	Visual Basic .Net source file	Visual Basic .NET
VBOX[11]	virtual machine settings file (in XML format)	VirtualBox
VBOX-EXTPACK[12]	VirtualBox extension package	VirtualBox
VBPROJ	Visual Basic .Net project file	Visual Basic .Net Express and Visual Studio 2003-2010 Project
VBR	Visual Basic Custom Control file	Visual Basic
VBS	VBScript script file	VBScript
VBX	Visual Basic eXtension	Visual Basic
VC6	Graphite - 2D and 3D drafting	Ashlar-Vellum
VCLS	VocaListener voice scanner file	VocaListener Plug-in (Vocaloid3)
VDA	Targa bitmap graphics	many raster graphics editors
VDI	Virtual Disk Image	VirtualBox
VDW	Visio web drawing	Microsoft Visio
VDX	Visio XML drawing	Microsoft Visio
VFD	Virtual Floppy Disk	Windows Virtual PC (among others)
VMCZ	Hyper-V Exported Virtual Machine	Microsoft
VMDK[13]	Virtual Disk file	VMware
VMG	Nokia message file format	Text Message Editor (Nokia PC Suite)
VOB[14][15]	Video Object	DVD-R, DVD-RW
VPM	Garmin Voice Processing Module	
VPP	Visual Paradigm Project	Visual Paradigm for UML
VQM	Hardware description language	Altera
VS	Vellum Solids	Ashlar-Vellum
VSD	Visio drawing	Microsoft Visio
VSDX[16]	Visio drawing	Microsoft Visio
VSM	Visual Simulation Model	VisSim
VSQ	Vocal synthesizer track data	Vocaloid2, Vocaloid3
VST	Truevision Vista graphics	many raster graphics editors
VSTO	Microsoft Office add-in file	Microsoft Visual Studio
VSVNBAK	VisualSVN Server repository backup	VisualSVN Server

WAV	Sound format (Microsoft Windows RIFF WAVE)	Media Player
WK1	Spreadsheet	Lotus 1-2-3 version 2.x - Lotus Symphony 1.1+
WK3	Spreadsheet	Lotus 1-2-3 version 3.x
WKS	Spreadsheet	Lotus 1-2-3 version 1A - Lotus Symphony 1.0, Microsoft Works
WMA	Windows Media Audio audio file	
WMDB	Windows Media Player database	Windows Media Player
WMF	Windows MetaFile vector graphics	
WOS	WoS bibliographic reference file	ISI/Clarivate Analytics

X	LEX source code file	
X	XBasic Source code file	Xbasic
X3D	x3d and xdart Formats	
XAR	Xara graphics file	Files created by Xara Photo & Graphic Designer (formerly Xara Xtreme and Xara Studio); early versions used the extension ART
XAR	eXtensible ARchive	xar, 7-Zip
XBRL	eXtensible Business Reporting Language instance file	eXtensible Business Reporting Language
XCF	Gimp image file	GNU Image Manipulation Program
XDM	Directory Manipulator for 32-bit Protected Mode	Xenotech Research Labs
XE	Xenon - for Associative 3D Modeling	Ashlar-Vellum
XEX	Xbox 360 Executable File	
XLS[17]	Microsoft Excel Spreadsheet	Microsoft Excel
XLSB	Microsoft Excel 2007 Binary Workbook (BIFF12)(Spreadsheets)	Microsoft Excel 2007 (see Microsoft Office 2007 file extensions)
XLSM	Microsoft Excel 2007 Macro-Enabled Workbook (Spreadsheets)	Microsoft Excel 2007 (see Microsoft Office 2007 file extensions)
XLSX[18]	Office Open XML Workbook (Spreadsheets)	Microsoft Excel 2007 (see Microsoft Office 2007 file extensions)
XM	FastTracker 2 extended module	AWAVE, Mod4Win, FastTracker, ImpulseTracker
XML	eXtensible Markup Language file	
XMF	eXtensible Music Format	
XP	eXtended Pattern	FastTracker 2
XPL	X-Plane system file	Laminar research
XPS	Open XML Paper Specification / OpenXPS	open standard document format initially created by Microsoft and similar in concept to Adobe PDF files
XSD[19][20]	XML schema description	
XSF	data	Microsoft InfoPath file
XSPF	XML Sharable Playlist Format	
XSL[21]	XSL Stylesheet	
XSLT[21]	XSLT file	
XSN	Microsoft InfoPath template	Microsoft InfoPath
XX	XX-encoded file (ASCII)	XXDECODE
XXE	XX-encoded file (ASCII)	XXDECODE
XXX	Singer Embroidery Format	Embroidermodder
XYZ	Molecular coordinates	XMol, RasMol
XZ	a lossless data compression file format incorporating the LZMA/LZMA2 compression algorithms.	xz

Y	YACC grammar file	Yacc/Bison
YML[22]	YML markup file	domain specific language output to XML
YAML[23]	YAML source file	YAML (data serialization language)

ZIP[24]	Zip (file format)	PKZip - WinZip - Mac OS X
ZS	Script for Minecraft mod MineTweaker[25] and CraftTweaker[26]	Minecraft Mods
